id	name	province	district	division	location	sub_location	level	agency	latitude	longitude	email	emergency_number_one	emergency_number_two
1	BARGONI HEALTH CENTRE	COAST	LAMU	HINDI	HINDI MAGOGONI	BARGONI	3	MOH	-2.057423	40.795232	cbargonihealthcentre@healthcare.com	0773489702	0735601681
2	FAZA HEALTH CENTRE	COAST	LAMU	FAZA	TCHUNDWA	TCHUNDWA	3	MOH	-2.071384	41.106066	cfazahealthcentre@healthcare.com	0772257630	0709516151
3	HINDI MAGOGONI DISP	COAST	LAMU	HINDI	HINDI MAGOGONI	HINDI MAGOGONI	4	MOH	-2.17357	40.810619	chindimagogonidisp@healthcare.com	0780240731	0763296845
4	HINDI PRISON DISP	COAST	LAMU	HINDI	HINDI MAGOGONI	HINDI MAGOGONI	4	MOH	-2.18	40.82	chindiprisondisp@healthcare.com	0730371850	0748570382
5	HONGWE CATHOLIC HEALTH CENTRE	COAST	LAMU	MPEKETONI	HONGWE	HONGWE	3	MISS	-2.341627	40.657674	chongwecatholichealthcentre@healthcare.com	0735652762	0719979890
6	ICHUNDWA DISP	COAST	LAMU	KIZINGITINI	MBWAJUMWALI	MYABOGI	4	MOH	-2.080138	41.123971	cichundwadisp@healthcare.com	0700233853	0756409359
7	KIUNGA HEALTH CENTRE	COAST	LAMU	KIUNGA	KIUNGA	RUBU/MWAMBORE	3	MOH	-1.741314	41.489472	ckiungahealthcentre@healthcare.com	0730454403	0738279641
8	KIWAYU DISP	COAST	LAMU	KIZINGITINI	NDAU	KIWAYUU	4	MOH	-2.002129	41.276085	ckiwayudisp@healthcare.com	0713427590	0747490543
9	KIZINGITINI DISP	COAST	LAMU	KIZINGITINI	MBWAJUMWALI	MYABOGI	4	MOH	-2.07302	41.1464	ckizingitinidisp@healthcare.com	0701168682	0727770805
10	LAKE KENYATTA HEALTH CENTRE	COAST	LAMU	MPEKETONI	MPEKETONI	KIONGWE	3	MISS	-2.368667	40.716142	clakekenyattahealthcentre@healthcare.com	0714059350	0704261637
11	LAMU DISTRICT HOSPITAL	COAST	LAMU	AMU	SHELLA MANDA	SHELLA(LAMU)	1	MOH	-2.27857	40.906769	clamudistricthospital@healthcare.com	0766885276	0718277913
12	MANGAI DISP	COAST	LAMU	KIUNGA	BASUBA	MANGAI	4	MOH	-1.746	41.181	cmangaidisp@healthcare.com	0761234924	0750727730
13	MATONDONI DISP	COAST	LAMU	AMU	MATONDONI	KIPUNGANI	4	MOH	-2.29451	40.858402	cmatondonidisp@healthcare.com	0702581033	0714553085
14	MKOKONI DISP	COAST	LAMU	KIUNGA	KIUNGA	MKOKONI	4	MOH	-1.896091	41.299752	cmkokonidisp@healthcare.com	0754631503	0784106280
15	MKUNUBI DISP	COAST	LAMU	MPEKETONI	MKUNUMBI	MKUNUMBI	4	MOH	-2.29477	40.6761	cmkunubidisp@healthcare.com	0756779094	0776936095
16	MLANGUMU DISP	COAST	LAMU	MPEKETONI	BAHARINI	BAHARI	4	MOH	-2.42249	40.7218	cmlangumudisp@healthcare.com	0794322412	0746228815
17	MOA (WEMA) MISSION DISP	COAST	LAMU	WITU	DIDE WARIDE	MOA	4	MISS	-2.274546	40.315276	cmoa(wema)missiondisp@healthcare.com	0799906367	0798869384
18	MOKOWE HEALTH CENTRE	COAST	LAMU	HINDI	MOKOWE	KILIMANI	3	MOH	-2.226905	40.830624	cmokowehealthcentre@healthcare.com	0773496403	0760213024
19	MPEKETONI HEALTH CENTRE	COAST	LAMU	MPEKETONI	MPEKETONI	CENTRAL(LAMU)	3	MOH	-2.38934	40.6976	cmpeketonihealthcentre@healthcare.com	0733494463	0751892282
20	MUKOWE HOSPITAL	COAST	LAMU	HINDI	MOKOWE	MOKOWE	1	MOH	-2.234325	40.860674	cmukowehospital@healthcare.com	0791008546	0796111385
21	N.Y.S DISP (BARGONI)	COAST	LAMU	HINDI	HINDI MAGOGONI	BARGONI	4	MOH	-2.01823	40.780399	cn.y.sdisp(bargoni)@healthcare.com	0797515439	0724966202
22	NDAU DISP	COAST	LAMU	KIZINGITINI	NDAU	NDAU	4	MOH	-2.011428	41.209608	cndaudisp@healthcare.com	0714982750	0775512058
23	PANDA NGUO DISP	COAST	LAMU	WITU	WITU	PANDANGUO	4	MOH	-2.203467	40.481233	cpandanguodisp@healthcare.com	0727107282	0793486718
24	PATTE DISP	COAST	LAMU	FAZA	PATTE	PATTE	4	MOH	-2.119562	41.011852	cpattedisp@healthcare.com	0741944571	0788506596
25	SHELLA DISP	COAST	LAMU	AMU	SHELLA MANDA	MANDA(LAMU)	4	MOH	-2.277881	40.949199	cshelladisp@healthcare.com	0744494930	0717732368
26	SIYU DISP	COAST	LAMU	FAZA	SIYU	SIYU	4	MOH	-2.109339	41.08097	csiyudisp@healthcare.com	0773998469	0706441546
27	WITU HEALTH CENTRE	COAST	LAMU	WITU	WITU	WITU	3	MOH	-2.39067	40.435958	cwituhealthcentre@healthcare.com	0736132747	0727209751
28	ADC GALANA RANCH DISP	COAST	MALINDI	MALINDI	CHAKAMA	KISIKI CHA WANGIRIAM	4	MISS	-3.065975	39.477797	cadcgalanaranchdisp@healthcare.com	0782988772	0705144220
29	ADU DISP	COAST	MALINDI	MARAFA	ADU	ADU	4	MOH	-2.8398	39.979912	cadudisp@healthcare.com	0788378051	0790618069
30	AIC MALANGA DISP	COAST	MALINDI	MALINDI	LANGOBAYA	MALANGA(MALINDI)	4	MISS	-3.247002	39.791723	caicmalangadisp@healthcare.com	0781824632	0710876568
31	BARICHO DISP	COAST	MALINDI	MARAFA	BUNGALE	BARICHO(MALINDI)	4	MOH	-3.10371	39.784611	cbarichodisp@healthcare.com	0712059862	0778024676
32	CHAKAMA DISP	COAST	MALINDI	MALINDI	CHAKAMA	MAKONGENI(MALINDI)	4	MOH	-3.122	39.633499	cchakamadisp@healthcare.com	0773444098	0785456882
33	DAGAMRA DISP	COAST	MALINDI	MARAFA	DAGAMRA	BATE	4	MOH	-3.18239	39.936409	cdagamradisp@healthcare.com	0722151837	0777179521
34	FUNDISA DISP	COAST	MALINDI	MAGARINI	FUNDISA	FUNDISA	4	MOH	-2.917646	40.093725	cfundisadisp@healthcare.com	0774292037	0738441774
