1,BARGONI HEALTH CENTRE,COAST,LAMU,HINDI,HINDI MAGOGONI,BARGONI,3,MOH,-2.057423,40.795232
2,FAZA HEALTH CENTRE,COAST,LAMU,FAZA,TCHUNDWA,TCHUNDWA,3,MOH,-2.071384,41.106066
3,HINDI MAGOGONI DISP,COAST,LAMU,HINDI,HINDI MAGOGONI,HINDI MAGOGONI,4,MOH,-2.17357,40.810619
4,HINDI PRISON DISP,COAST,LAMU,HINDI,HINDI MAGOGONI,HINDI MAGOGONI,4,MOH,-2.18,40.82
5,HONGWE CATHOLIC HEALTH CENTRE,COAST,LAMU,MPEKETONI,HONGWE,HONGWE,3,MISS,-2.341627,40.657674
6,ICHUNDWA DISP,COAST,LAMU,KIZINGITINI,MBWAJUMWALI,MYABOGI,4,MOH,-2.080138,41.123971
7,KIUNGA HEALTH CENTRE,COAST,LAMU,KIUNGA,KIUNGA,RUBU/MWAMBORE,3,MOH,-1.741314,41.489472
8,KIWAYU DISP,COAST,LAMU,KIZINGITINI,NDAU,KIWAYUU,4,MOH,-2.002129,41.276085
9,KIZINGITINI DISP,COAST,LAMU,KIZINGITINI,MBWAJUMWALI,MYABOGI,4,MOH,-2.07302,41.1464
10,LAKE KENYATTA HEALTH CENTRE,COAST,LAMU,MPEKETONI,MPEKETONI,KIONGWE,3,MISS,-2.368667,40.716142
11,LAMU DISTRICT HOSPITAL,COAST,LAMU,AMU,SHELLA MANDA,SHELLA(LAMU),1,MOH,-2.27857,40.906769
12,MANGAI DISP,COAST,LAMU,KIUNGA,BASUBA,MANGAI,4,MOH,-1.746,41.181
13,MATONDONI DISP,COAST,LAMU,AMU,MATONDONI,KIPUNGANI,4,MOH,-2.29451,40.858402
14,MKOKONI DISP,COAST,LAMU,KIUNGA,KIUNGA,MKOKONI,4,MOH,-1.896091,41.299752
15,MKUNUBI DISP,COAST,LAMU,MPEKETONI,MKUNUMBI,MKUNUMBI,4,MOH,-2.29477,40.6761
16,MLANGUMU DISP,COAST,LAMU,MPEKETONI,BAHARINI,BAHARI,4,MOH,-2.42249,40.7218
17,MOA (WEMA) MISSION DISP,COAST,LAMU,WITU,DIDE WARIDE,MOA,4,MISS,-2.274546,40.315276
18,MOKOWE HEALTH CENTRE,COAST,LAMU,HINDI,MOKOWE,KILIMANI,3,MOH,-2.226905,40.830624
19,MPEKETONI HEALTH CENTRE,COAST,LAMU,MPEKETONI,MPEKETONI,CENTRAL(LAMU),3,MOH,-2.38934,40.6976
20,MUKOWE HOSPITAL,COAST,LAMU,HINDI,MOKOWE,MOKOWE,1,MOH,-2.234325,40.860674
21,N.Y.S DISP (BARGONI),COAST,LAMU,HINDI,HINDI MAGOGONI,BARGONI,4,MOH,-2.01823,40.780399
22,NDAU DISP,COAST,LAMU,KIZINGITINI,NDAU,NDAU,4,MOH,-2.011428,41.209608
23,PANDA NGUO DISP,COAST,LAMU,WITU,WITU,PANDANGUO,4,MOH,-2.203467,40.481233
24,PATTE DISP,COAST,LAMU,FAZA,PATTE,PATTE,4,MOH,-2.119562,41.011852
25,SHELLA DISP,COAST,LAMU,AMU,SHELLA MANDA,MANDA(LAMU),4,MOH,-2.277881,40.949199
26,SIYU DISP,COAST,LAMU,FAZA,SIYU,SIYU,4,MOH,-2.109339,41.08097
